Title,Duration,Genre,Rating,Gross,Director,Lead,Year
Dracula 2000,99 min,"Action, Fantasy, Horror",R,33.02,Patrick Lussier,Gerard Butler,2000
Friday the 13th: The Final Chapter,91 min,"Horror, Thriller",R,32.98,Joseph Zito,Erich Anderson,1984
Mercury Rising,111 min,"Action, Crime, Drama",R,32.94,Harold Becker,Bruce Willis,1998
Blade Runner,117 min,"Action, Drama, Sci-Fi",R,32.87,Ridley Scott,Harrison Ford,1982
The Last House on the Left,110 min,Thriller,R,32.75,Dennis Iliadis,Garret Dillahunt,2009
Annihilation,115 min,"Adventure, Drama, Horror",R,32.73,Alex Garland,Natalie Portman,I 2018
Taking Lives,103 min,"Crime, Mystery, Thriller",R,32.68,D.J. Caruso,Angelina Jolie,2004
Don't Breathe 2,98 min,"Action, Crime, Thriller",R,32.64,Rodo Sayagues,Stephen Lang,2021
Proof of Life,135 min,"Action, Drama, Thriller",R,32.6,Taylor Hackford,Meg Ryan,2000
Hard Target,97 min,"Action, Crime, Thriller",R,32.59,John Woo,Jean-Claude Van Damme,1993
Darkness Falls,86 min,"Fantasy, Horror, Mystery",PG-13,32.55,Jonathan Liebesman,Chaney Kley,2003
Unfriended,83 min,"Horror, Mystery, Thriller",R,32.48,Levan Gabriadze,Heather Sossaman,2014
Bride of Chucky,89 min,"Comedy, Horror, Thriller",R,32.4,Ronny Yu,Jennifer Tilly,1998
Rumble in the Bronx,87 min,"Action, Comedy, Crime",R,32.39,Stanley Tong,Jackie Chan,1995
Nightcrawler,117 min,"Crime, Drama, Thriller",R,32.38,Dan Gilroy,Jake Gyllenhaal,2014
Anacondas: The Hunt for the Blood Orchid,97 min,"Action, Adventure, Horror",PG-13,32.24,Dwight H. Little,Morris Chestnut,2004
Side Effects,106 min,"Crime, Drama, Mystery",R,32.17,Steven Soderbergh,Rooney Mara,I 2013
Cold Pursuit,119 min,"Action, Comedy, Crime",R,32.14,Hans Petter Moland,Liam Neeson,2019
Stealth,121 min,"Action, Adventure, Sci-Fi",PG-13,32.12,Rob Cohen,Josh Lucas,2005
House of Wax,113 min,"Horror, Thriller",R,32.06,Jaume Collet-Serra,Chad Michael Murray,2005
The Shadow,108 min,"Action, Adventure, Crime",PG-13,32.06,Russell Mulcahy,Alec Baldwin,1994
Copycat,123 min,"Drama, Mystery, Thriller",R,32.05,Jon Amiel,Sigourney Weaver,1995
Cellular,94 min,"Action, Crime, Thriller",PG-13,32.0,David R. Ellis,Kim Basinger,2004
Psycho,109 min,"Horror, Mystery, Thriller",R,32.0,Alfred Hitchcock,Anthony Perkins,1960
Metro,117 min,"Action, Comedy, Crime",R,31.99,Thomas Carter,Eddie Murphy,1997
Murder by Numbers,115 min,"Crime, Mystery, Thriller",R,31.95,Barbet Schroeder,Sandra Bullock,2002
Dressed to Kill,104 min,"Crime, Drama, Mystery",R,31.9,Brian De Palma,Michael Caine,1980
Patriots Day,133 min,"Action, Crime, Drama",R,31.89,Peter Berg,Mark Wahlberg,2016
Push,111 min,"Action, Sci-Fi, Thriller",PG-13,31.81,Paul McGuigan,Camilla Belle,2009
9,79 min,"Animation, Action, Adventure",PG-13,31.74,Shane Acker,Elijah Wood,I 2009
Transporter 3,104 min,"Action, Crime, Thriller",PG-13,31.72,Olivier Megaton,Jason Statham,2008
Quarantine,89 min,"Horror, Sci-Fi, Thriller",R,31.69,John Erick Dowdle,Jennifer Carpenter,2008
House at the End of the Street,101 min,"Drama, Horror, Thriller",PG-13,31.61,Mark Tonderai,Jennifer Lawrence,2012
From Hell,122 min,"Horror, Mystery, Thriller",R,31.6,Albert Hughes,Allen Hughes,2001
One Hour Photo,96 min,"Drama, Thriller",R,31.6,Mark Romanek,Robin Williams,2002
Chappie,120 min,"Action, Crime, Drama",R,31.57,Neill Blomkamp,Sharlto Copley,2015
United 93,111 min,"Action, Drama, History",R,31.57,Paul Greengrass,David Alan Basche,2006
A History of Violence,96 min,"Action, Crime, Drama",R,31.49,David Cronenberg,Viggo Mortensen,2005
Adrift,96 min,"Action, Adventure, Biography",PG-13,31.45,Baltasar Kormákur,Shailene Woodley,I 2018
The Core,135 min,"Action, Adventure, Sci-Fi",PG-13,31.19,Jon Amiel,Aaron Eckhart,2003
The Debt,113 min,"Drama, Thriller",R,31.18,John Madden,Helen Mirren,I 2010
A Perfect World,138 min,"Crime, Drama, Thriller",PG-13,31.16,Clint Eastwood,Kevin Costner,1993
Crimson Peak,119 min,"Drama, Horror, Mystery",R,31.09,Guillermo del Toro,Mia Wasikowska,2015
High Anxiety,94 min,"Comedy, Mystery, Thriller",PG,31.06,Mel Brooks,Mel Brooks,1977
Nuts,116 min,"Drama, Thriller",R,30.95,Martin Ritt,Barbra Streisand,1987
Powder,111 min,"Drama, Fantasy, Mystery",PG-13,30.86,Victor Salva,Mary Steenburgen,1995
Robin Hood,116 min,"Action, Adventure, Drama",PG-13,30.82,Otto Bathurst,Taron Egerton,2018
I Love Trouble,123 min,"Action, Comedy, Romance",PG,30.81,Charles Shyer,Nick Nolte,1994
